day_pt,discovery_joins,invites,vanity_joins,hubs_joins,bot_joins,integration_joins,other_joins,total_joins,interval_start_timestamp
2026-02-20T00:00:00+00:00,9,82,21,0,0,0,10,122,2026-02-20T00:00:00+00:00
2026-03-22T00:00:00+00:00,17,79,27,0,0,0,5,128,2026-03-22T00:00:00+00:00
2026-04-21T00:00:00+00:00,10,80,19,0,0,0,3,112,2026-04-21T00:00:00+00:00
2026-05-21T00:00:00+00:00,12,147,28,0,0,0,1,187,2026-05-21T00:00:00+00:00
