day_pt,discovery_joins,invites,vanity_joins,hubs_joins,bot_joins,integration_joins,other_joins,total_joins,interval_start_timestamp
2026-02-20T00:00:00+00:00,87,116,173,0,0,0,19,394,2026-02-20T00:00:00+00:00
2026-03-22T00:00:00+00:00,84,78,217,0,0,0,11,389,2026-03-22T00:00:00+00:00
2026-04-21T00:00:00+00:00,85,88,175,0,0,0,25,371,2026-04-21T00:00:00+00:00
2026-05-21T00:00:00+00:00,84,105,252,0,0,0,25,462,2026-05-21T00:00:00+00:00
