interval_start_timestamp,messages,messages_per_communicator
2026-01-22T00:00:00+00:00,11022,55.38693467336683
2026-01-29T00:00:00+00:00,10010,49.310344827586206
2026-02-05T00:00:00+00:00,9476,44.074418604651164
2026-02-12T00:00:00+00:00,7775,43.67977528089887
2026-02-19T00:00:00+00:00,8952,47.36507936507937
2026-02-26T00:00:00+00:00,10002,51.03061224489796
2026-03-05T00:00:00+00:00,8464,39.18518518518518
2026-03-12T00:00:00+00:00,8464,43.628865979381445
2026-03-19T00:00:00+00:00,8814,45.90625
2026-03-26T00:00:00+00:00,7715,44.08571428571429
2026-04-02T00:00:00+00:00,14905,65.66079295154185
2026-04-09T00:00:00+00:00,10584,51.88235294117647
2026-04-16T00:00:00+00:00,10058,45.71818181818182
2026-04-23T00:00:00+00:00,11638,67.66279069767442
2026-04-30T00:00:00+00:00,12445,53.64224137931034
2026-05-07T00:00:00+00:00,14130,59.620253164556964
2026-05-14T00:00:00+00:00,12154,57.06103286384977
2026-05-21T00:00:00+00:00,13863,71.45876288659794
